Places,Notes,Formatted address,Latitude,Longitude,Postal code,City,Country,Region,Department,Department number
? (dc Brugen),"Bruges, Brugge",,51.217207,3.205349,,Brugge,Belgium,,,
? (dc Cenomanen),Diocese of Le Mans (Latin: Dioecesis Cenomanensis),,48.011975,0.184108,,Le Mans,France,,,
? (dc Feretras),Diocesis Feretr(ensis),,43.920772,12.311986,,Montefeltro,Italy,,,
? (dc Firman),Firmanensis?,,43.162118,13.704593,,Fermo,Italy,,,
? (dc Nancien),Nancien(sis),,48.694133,6.18342,,Nancy,France,,,
? (dc S. Ludovici in Maragnano),,,-2.52945,-44.296951,,"São Luís, Marañhao",Brazil,,,
? (dc Vatefordien),Vaterfordien(sis) dyocesis,,52.284962,-7.154757,,Waterford,Ireland,,,
? (Elládah),Here there is a typo that does not correspond to the Jesuit lives chart: Elládha (i.e. Greece),,,,,,Greece,,,
"? (H-Rhin, in dc Argentoraten)",Argentoraten = Strasbourg Haut-Rhin is a dpt whose prefecture is in Colmar though,,48.573406,7.752111,,Strasbourg,,,,
? (hispanus),,,,,,,,,,
? (Hopeh),,"Hebei, China",37.8956594,114.9042208,,,China,Hebei,,
? (King's),"likely County Offaly (King's was the old name), Ireland",,,,,,,,,
? (lebeniensis),"In some sources, br. Malevé is indicated from Louvain with a question mark as to indicate uncertainty about translating lebeniensis (it would be a very inusual typo from lovaniensis). In a another souce, he is indicated as entering the Society in Huppaye (Belgium). In latin, though, all the references to lebeniensis point to the hungarian monastery of Lébény",,47.742094,17.390692,,Lébény,Hungary,,,
? (Maurice),Mauritius. In several places in Jesuit lives is reported with a specific town/city,,24.916566,57.492168,,,Mauritius,,,
? (Mayo),"County Mayo, Ireland",,,,,,,,,
? (Me.),Maine,,45.253784,,,,,,,
? (Miss Gallen),Missio Gallensis - Ceylon,,,,,,,,,
? (Miss Patnen),Patnen[sis] a mission in India?,,25.61181,85.130396,,Patna,India,,,
? (Morava),,"Moravia, 602 00 Brno-Brno-střed, Czechia",49.1950982,16.6067304,602 00,,Czechia,South Moravian Region,Brno-City District,Brno-City District
? (neapolitanus),,,40.851799,14.26812,,Naples,,,,
"? (Rothomagen, France)",Archidioecesis Rothomagensis = Rouen,,49.443233,1.099971,,Rouen,,,,
? (RSFSR),This is USSR,,,,,,,,,
? (Syra),"In Jesuit Lives, Syra is followed by Elládha between parenthesis",,37.464367,24.916566,,Syros,Greece,,,
? (Tridentinus),,,32.488602,-100.122818,,Trent,Italy,,,
? (Tyron),"County Tyrone, see Aghaloo below",,,,,,,,,
? (Victoria),"Given the trajectory of the Jesuit (born entered in Calif and dead in the state of Washington, i would be inclined to identify this victoria with the canadian one.",,48.430567,-123.365301,,Victoria,Canada,,,
? (Vp Madur),Madurai?,,9.928271,78.119493,,Madurai,India,,,
? Lepel; BSSR,,"Lepiel, Belarus",54.8789852,28.7031126,,Lepiel,Belarus,Vitebsk Region,Lepel District,Lepel District
(bielciensis) Li. SSR,,,49.844182,19.053748,,Bielsko,Poland,,,
(dc Scepusien: a *Olasinensis? Československo),Szepes County is in Moravia / in German also called Zips,,48.998353,20.76854,,Spišský hrad,Slovak,,,
(Hopeh),,"Hebei, China",37.8956594,114.9042208,,,China,Hebei,,
"(In cat 1960, Vita Functi: ex Russia nondum reversus)",,,,,,,,,,
(Kobrynensis) (Li. SSR),,"Kobryn, Belarus",52.2117585,24.3562415,,Kobryn,Belarus,Brest Region,Kobryn District,Kobryn District
(Miss Gallen),Missio Gallensis - Ceylon,,,,,,,,,
(quitensis),,,-0.164795,-78.465021,,Quito,Ecuador,,,
*Aghaloo (Tyrone),"Aghaloo (civil parish), County Tyrone, Ireland",,54.392053,-6.876838,,Aghaloo,Northern Ireland,,,
*Alt-Kalken (Čechy),,"472 01 Skalka u Doks, Czechia",50.5635814,14.6195724,472 01,Skalka u Doks,Czechia,Liberec Region,Česká Lípa District,Česká Lípa District
*Balmanéjol (España),,,,,,,,,,
*Barbicetum (Etruria),Barbischi (Arezzo)? supported by a source,,43.463012,11.455396,,Barbischi,Italy,,,
*Birchburch,,,,,,,,,,
*Brega (Schlesien),,"Brzeg, Poland",50.8608509,17.466831,49,Brzeg,Poland,Opole Voivodeship,Brzeg County,Brzeg County
"*Choloblin, BSSR","in the Cherykaw District, Belarus",,,,,,,,,
"*Ciszejki, Li. SSR","likely Siesikai, in the County of Vilinius",,55.29333897,24.50182915,,Siesikai,Lithuania,,,
*Clonelweg (Queen's),"County Laois (formerly County Queen's), Ireland; but note the original entry also says he was perhaps born in Clonbeg (civil parish), County Tipperary, Ireland",,,,,,,,,
*Czereków (Mścislaw),,"Mscislaŭ, Belarus",54.0206321,31.7220403,,Mscislaŭ,Belarus,Mogilev Region,Mstsislaw District,Mstsislaw District
*Defere,,,,,,,,,,
*Finaders,villanders?,,,,,,,,,
*Finedo,"likely Finolledo, in León",,42.6547639,-6.5589154,,Finolledo,Spain,,,
*Fult (Deutschland),,,50.556743,9.681104,,Fulda,Germany,,,
*Hetraff (dc Curien),"Dc Curiensis = Diocese of Chur / the jesuit here is famous Jacques Condrau, bon in Chur",,46.857256,9.526608,,Chur,Switzerland,,,
*Heutwigswate (Schlesien),,,,,,,,,,
"*Hirówce, Li.SSR",A town in Belarus?,,,,,,,,,
*Hitzlad (Magyarorszag),,,,,,,,,,
*Kupince,Kupinec (Croatia),,45.657188,15.787741,,Kupinec,Croatia,,,
"*Letce, Li. SSR",Letce or Ledczany village in the Vicebsk province,,55.18367,30.166441,,Vicebsk,Belarus,,,
*Limacre? (Limerick),,,52.661252,-8.6301239,,Limerick,Ireland,,,
*Mazis,cannot locate this in the cleanup sheet,,,,,,,,,
*Noobetsch (Čechy),,,,,,,,,,
*Ober-Nemans,,"Neman, Kaliningrad Oblast, Russia",55.0370932,22.0302712,,Neman,Russia,Kaliningrad Oblast,Nemanskii,Nemanskii
*Oldulara,"likely Vidular, Cantabria",,42.949394,-6.0939652,,Vidular,Spain,,,
*Opertof (Deutschland),,,,,,,,,,
*Ottmachau (Schlesien),,"Otmuchów, Poland",50.4660686,17.1733617,48,Otmuchów,Poland,Opole Voivodeship,Nysa County,Nysa County
*Phulstown ,"? Paulstown, County Kilkenny, Ireland",,,,,,,,,
*Rusal (Rheinland),,,,,,,,,,
*Sorrisi,"Likely Soriso, Novara. The Jesuit entered in the province",,45.740274,8.410508,,Soriso,Italy,,,
*Tinkuan (Tyrone),"No townland, parish, etc, listed in County Tyrone, Ireland",,,,,,,,,
*Wornowina (Mścisław),,"Mscislaŭ, Belarus",54.0206321,31.7220403,,Mscislaŭ,Belarus,Mogilev Region,Mstsislaw District,Mstsislaw District
Aalbeck pr Valkenburg,,,50.864749,5.830352,,Valkenburg aan de Geul,Netherland,,,
Abbadim (Minho),Abadim is a freguesia (portuguese second level admin) whose main center is Cabeceiras de Basto,,41.508577,-7.983602,,Cabeceiras de Basto,Portugal,,,
"ad Ladogasee, RSFSR",,"Lake Ladoga, Russia",60.8664587,31.5103505,,,Russia,,,
Ahilandiruram (dc Madhuraien),perhaps Alandur?,,,,,,India,,,
Alamaceda (Beira Baixa),"Likely Almaceda, Portugal // no doubt on this. See here.",,,,,,Portugal,,,
"Albertyn, BSSR",,"Фабричная 1, Слоним, 231800, Slonim, Belarus",53.0833738,25.3912953,,Slonim,Belarus,Hrodna Region,Slonim District,Slonim District
"Aleksandrovka (Krym, USSR)",,"Aleksandrovka, Altai Republic, Russia, 649108",51.737288,86.11546,649108,Aleksandrovka,Russia,Altai Republic,Mayminsky District,Mayminsky District
