Places,Places without underlines and Fl Oc,Formatted address,Latitude,Longitude,Postal code,City,Country,Region,Department,Department number
Castelvestrano (Trapani),Castelvestrano (Trapani),"91022 Castelvetrano, Province of Trapani, Italy",37.6785135,12.7917794,91022,Castelvetrano,Italy,Sicily,Province of Trapani,TP
Maastricht,Maastricht,"Maastricht, Netherlands",50.8513682,5.6909725,,Maastricht,Netherlands,Limburg,Maastricht,Maastricht
Palacio,Palacio,"Viale Douhet, 2/a, 81100 Caserta CE, Italy",41.0732181,14.3270683,81100,Caserta,Italy,Campania,Provincia di Caserta,CE
Palmero,Palmero,"Palermo, Province of Palermo, Italy",38.11569,13.3614868,,Palermo,Italy,Sicily,Province of Palermo,PA
Castronovo (Palermo),Castronovo (Palermo),"90030 Castronovo di Sicilia, Province of Palermo, Italy",37.6800751,13.6038617,90030,Castronovo di Sicilia,Italy,Sicily,Province of Palermo,PA
Resina (Napoli),Resina (Napoli),"Via Pugliano, 80056 Ercolano NA, Italy",40.8104271,14.3504033,80056,Ercolano,Italy,Campania,Città Metropolitana di Napoli,NA
Pordenone,Pordenone,"33170 Pordenone, Province of Pordenone, Italy",45.9563684,12.661452,33170,,Italy,Friuli-Venezia Giulia,Province of Pordenone,PN
Venezia,Venezia,"Venice, Metropolitan City of Venice, Italy",45.4408474,12.3155151,,Venice,Italy,Veneto,Metropolitan City of Venice,VE
Lamego (Viseu),Lamego (Viseu),"5100 Lamego, Portugal",41.0953745,-7.8123805,5100,Lamego,Portugal,Viseu District,,
Frauwüllesheim (Aachen),Frauwüllesheim (Aachen),"Aachen, Germany",50.7753455,6.0838868,,Aachen,Germany,North Rhine-Westphalia,Cologne,K
"Tinalhas (Alcains, Portalegre)","Tinalhas (Alcains, Portalegre)","6000 Tinalhas, Portugal",39.947158,-7.5309038,6000,Tinalhas,Portugal,Castelo Branco,,
Aguas Calientes,Aguas Calientes,"Aguas Calientes 08681, Peru",-13.1547062,-72.5254412,8681,Aguas Calientes,Peru,Cusco,Urubamba Province,Urubamba Province
? (Polska),? (Polska),Poland,51.919438,19.145136,,,Poland,,,
Barcelona,Barcelona,"Barcelona, Spain",41.3850639,2.1734035,,Barcelona,Spain,Catalonia,Barcelona,Barcelona
Asunción,Asunción,"Asunción, Paraguay",-25.2637399,-57.575926,,Asunción,Paraguay,,,
Val-de-Cuenca (Teruel),Val-de-Cuenca (Teruel),"44122 Valdecuenca, Teruel, Spain",40.2980923,-1.4081445,44122,Valdecuenca,Spain,Aragon,Teruel,Teruel
Sablé (Sarthe),Sablé (Sarthe),"72300 Sablé-sur-Sarthe, France",47.8404856,-0.3334185,72300,Sablé-sur-Sarthe,France,Pays de la Loire,Sarthe,Sarthe
? (Deutschland),? (Deutschland),Germany,51.165691,10.451526,,,Germany,,,
Château de Witry (Luxembourg),Château de Witry (Luxembourg),"Witry, 6860 Léglise, Belgium",49.8596108,5.6131081,6860,Léglise,Belgium,Wallonia,Luxembourg,LX
Palermo,Palermo,"Palermo, Province of Palermo, Italy",38.11569,13.3614868,,Palermo,Italy,Sicily,Province of Palermo,PA
Padova,Padova,"Padua, Province of Padua, Italy",45.4064349,11.8767611,,Padua,Italy,Veneto,Province of Padua,PD
Puebla,Puebla,"Puebla, Mexico",19.0414398,-98.2062727,,Puebla,Mexico,Puebla,,
Castrogiovanni (Caltanissetta),Castrogiovanni (Caltanissetta),"93100 Caltanissetta, Province of Caltanissetta, Italy",37.4901115,14.0628928,93100,Caltanissetta,Italy,Sicily,Province of Caltanissetta,CL
Nicosia (Catania),Nicosia (Catania),"Via Giuseppe Garibaldi, 47, 95121 Catania CT, Italy",37.5018305,15.0854743,95121,Catania,Italy,Sicilia,Provincia di Catania,CT
San Lúcar de Barrameda (Cádiz),San Lúcar de Barrameda (Cádiz),"11540 Sanlúcar de Barrameda, Cádiz, Spain",36.7725774,-6.3529689,11540,Sanlúcar de Barrameda,Spain,Andalusia,Cádiz,CA
? (Maryland),? (Maryland),"Maryland, USA",39.0457549,-76.6412712,,,United States,Maryland,,
Oropesa (Toledo),Oropesa (Toledo),"45560 Oropesa, Spain, Toledo, Spain",39.9175391,-5.1747162,45560,"Oropesa, Spain",Spain,Castile-La Mancha,Toledo,TO
Genova,Genova,"Genoa, Metropolitan City of Genoa, Italy",44.4056499,8.946256,,Genoa,Italy,Liguria,Metropolitan City of Genoa,GE
Ronda (Málaga),Ronda (Málaga),"29400 Ronda, Málaga, Spain",36.746209,-5.1612251,29400,Ronda,Spain,Andalusia,Málaga,Málaga
Besançon (Doubs),Besançon (Doubs),"25000 Besançon, France",47.237829,6.0240539,25000,Besançon,France,Bourgogne-Franche-Comté,Doubs,Doubs
Bruges,Bruges,"Bruges, Belgium",51.209348,3.2246995,,Bruges,Belgium,Flanders,West Flanders,WV
Alagón (Zaragoza),Alagón (Zaragoza),"50630 Alagón, Zaragoza, Zaragoza, Spain",41.7689166,-1.1173154,50630,"Alagón, Zaragoza",Spain,Aragon,Zaragoza,Z
Tudela,Tudela,"31500 Tudela, Navarre, Spain",42.0613816,-1.6063169,31500,Tudela,Spain,Navarre,Navarre,NA
