JesuitPlaceAbbreviation,Places,MissionDate(s),ViceProvinceDate(s),ProvinceDate(s),Latitude,Longitude,,Placeholder City,,Placeholder Country
Aeq,Aequatoriana,,1952,,-0.180653,-78.467834,,Quito,,Ecuador
AfrC,Africae Centralis,,1957,1961,-4.441931,15.266293,,Kinshasa,,Congo
Ahmed,Ahmedabadensis,,1956-1961,,23.022505,72.571365,,Ahmedabad,,India
AlbR,Albae Russiae,,,1801-1803,53.904541,27.561523,,Minsk,,Belarus
Angl,Angliae,,,1803,51.5073219,-0.1276474,,London,,United Kingdom
Antill,Antillensis,,1952,1968,23.135305,-82.3589631,,Havana,,Cuba
Arag,Aragoniae,,,1863-1948,41.70057095,-0.90908596,,Zaragoza,,Spain
Arg,Argentinensis,,,1937,-34.6075682,-58.4370894,,Buenos Aires,,Argentina
ArgCh,Argentino-Chilensis,,,1917-1937,-30.7054363,-69.1988222,,San Juan,,Argentina
Aus,Austriaco-Galician,,,1838-1846,49.5557716,25.591886,,Ternopil,,Ukraine
AusHu,Austriaco-Hungarica,,,1871-1909,48.2083537,16.3725042,,Vienna,,Austria
Austra,Australiae,,1931,1950,-37.8142176,144.9631608,,Melbourne,,Australia
Austrca,Austriaca,,,1846-1871,48.2083537,16.3725042,,Vienna,,Austria
Austri,Austriae,,,1909,48.2083537,16.3725043,,Vienna,,Austria
Baet,Baeticae,,,1924,37.3886303,-5.9953403,,Sevilla,,Spain
Belgaum,Belgaensis,1954-1955,,,15.8572666,74.5069343,,Belgaum,,India
BelgM,Belgicae Meridionalis,,,1935,50.8465573,4.351697,,Brussels,,Belgium
BelgS,Beligicae Septemtrionalis,,,1935,50.8465573,4.351697,,Brussels,,Belgium
Boh,Bohemiae,,,1938,50.0596288,14.44645927,,Prague,,Czech Republic
Bol,Bolivian.,,1967,,-16.4955455,-68.1336229,,La Paz,,Bolivia
Bomb,Bombayensis,,,1956,18.9387711,72.8353355,,Mumbai,,India
BPoon,Belgaum-Poonensis,,1956-1964,,18.521428,73.8544541,,Pune,,India
BrasC,Brasiliae Centralis,,1925,1939,-22.9110137,-43.2093727,,Rio de Janeiro,,Brazil
BrasM,Brasiliae Meridionalis,,1925,1927,-30.10091665,-51.18878819,,Porto Alegre,,Brazil
BrasS,Brasiliae Septemtrionalis,,1938,,-12.9822499,-38.4812772,,Salvador,,Brazil
Buff,Buffalensis,,,1956-1967,42.8867166,-78.8783922,,Buffalo,,United States
Calcut,Calcuttensis,,1956,,22.5726723,88.3638815,,Kolkata,,India
Calif,Californiae,,1909,,37.7647993,-122.4629897,,San Francisco,,United States
CAm,Centro-American,,1958,,13.6989939,-89.1914249,,San Salvador,,El Salvador
Camp,Campaniae,,,1863-1961,49.2368732,4.08030473,,Reims,,France
Can,Canadensis ,1887,,1907-1924,45.5505849,-73.60223174,,Montreal,,Canada
CanI,Canadae Inferioris ,,,1924-1964,45.5505849,-73.60223174,,Montreal,,Canada
CanS,Canadae Superioris,,1924,1939,43.6534817,-79.3839347,,Toronto,,Canada
Cast,Castellan,,,1863-1948; 1962,43.4620412,-3.8099719,,Santander,,Spain
CeSl,Checho-Slovakiae,,1919,1928-1938,50.0596288,14.44645927,,Prague,,Czech Republic
